year,codest,codmun,enrolled,daycare_pop,ratio
2012,11,110092,128,658,0.1945288753799392
2000,11,110094,0,699,0.0
2004,11,110094,0,857,0.0
2008,11,110094,74,1337,0.055347793567688854
2012,11,110094,197,1340,0.14701492537313432
2000,11,110100,0,1329,0.0
2004,11,110100,20,1604,0.012468827930174564
2008,11,110100,44,1068,0.04119850187265917
2012,11,110100,51,600,85
2000,11,110110,58,681,0.08516886930983847
2004,11,110110,39,783,0.04980842911877394
2008,11,110110,47,761,0.06176084099868594
2012,11,110110,62,704,0.08806818181818182
2000,11,110120,0,1036,0.0
2004,11,110120,0,1030,0.0
2008,11,110120,0,873,0.0
2012,11,110120,53,674,0.07863501483679525
2000,11,110130,100,1207,0.08285004142502071
2004,11,110130,137,1258,0.10890302066772654
2008,11,110130,135,1035,0.13043478260869565
2012,11,110130,98,677,0.1447562776957164
2000,11,110140,0,1220,0.0
2004,11,110140,89,1446,0.06154910096818811
2008,11,110140,68,1130,0.06017699115044248
2012,11,110140,68,950,0.07157894736842105
2000,11,110143,0,806,0.0
2004,11,110143,0,876,0.0
2008,11,110143,31,690,0.04492753623188406
2012,11,110143,0,464,0.0
2000,11,110145,0,356,0.0
2004,11,110145,0,333,0.0
2008,11,110145,0,423,0.0
2012,11,110145,0,367,0.0
2000,11,110146,0,244,0.0
2004,11,110146,0,250,0.0
2008,11,110146,0,212,0.0
2012,11,110146,0,180,0.0
2000,11,110147,0,365,0.0
2004,11,110147,0,369,0.0
2008,11,110147,50,280,0.17857142857142858
2012,11,110147,43,181,0.23756906077348067
2000,11,110148,0,573,0.0
2004,11,110148,0,582,0.0
2008,11,110148,0,463,0.0
2012,11,110148,0,318,0.0
2000,11,110149,0,1199,0.0
2004,11,110149,0,1633,0.0
2008,11,110149,0,1564,0.0
2012,11,110149,57,1233,0.046228710462287104
2000,11,110150,16,1239,0.0129136400322841
2004,11,110150,0,1507,0.0
2008,11,110150,0,1124,0.0
2012,11,110150,0,708,0.0
2000,11,110155,10,450,0.022222222222222223
2004,11,110155,51,461,0.11062906724511931
2008,11,110155,56,354,0.15819209039548024
2012,11,110155,108,271,0.3985239852398524
2000,11,110160,0,1013,0.0
2004,11,110160,0,1172,0.0
2008,11,110160,0,862,0.0
2012,11,110160,0,667,0.0
2000,11,110170,130,1351,0.09622501850481126
2004,11,110170,105,1495,0.07023411371237458
2008,11,110170,133,1151,0.1155516941789748
2012,11,110170,160,762,0.2099737532808399
2000,11,110175,0,783,0.0
2004,11,110175,0,962,0.0
2008,11,110175,0,841,0.0
2012,11,110175,0,642,0.0
2000,11,110180,64,849,0.07538280329799764
2004,11,110180,21,877,0.02394526795895097
2008,11,110180,52,704,0.07386363636363637
2012,11,110180,63,455,0.13846153846153847
2000,12,120001,0,944,0.0
2004,12,120001,207,1062,0.19491525423728814
2008,12,120001,256,1254,0.20414673046251994
2012,12,120001,218,1046,0.2084130019120459
2000,12,120005,53,367,0.1444141689373297
2004,12,120005,43,392,0.1096938775510204
2008,12,120005,254,510,0.4980392156862745
2012,12,120005,119,645,0.18449612403100776
2000,12,120010,0,1787,0.0
2004,12,120010,58,1916,0.030271398747390398
2008,12,120010,60,1881,0.03189792663476874
2012,12,120010,222,1696,0.13089622641509435
2000,12,120013,64,685,0.09343065693430656
2004,12,120013,26,811,0.032059186189889025
2008,12,120013,91,706,0.12889518413597734
2012,12,120013,137,712,0.19241573033707865
2000,12,120017,0,639,0.0
2004,12,120017,0,783,0.0
2008,12,120017,0,929,0.0
2012,12,120017,0,750,0.0
2000,12,120020,0,8095,0.0
2004,12,120020,1100,9051,0.12153353220638603
2008,12,120020,1247,8168,0.15266895200783545
2012,12,120020,1404,7022,0.19994303617203077
2000,12,120025,93,1188,0.07828282828282829
2004,12,120025,36,1346,0.02674591381872214
2008,12,120025,47,1263,0.03721298495645289
2012,12,120025,205,1236,0.16585760517799353
2000,12,120030,0,3162,0.0
2004,12,120030,0,3592,0.0
2008,12,120030,0,3510,0.0
2012,12,120030,0,3521,0.0
2000,12,120032,0,776,0.0
2004,12,120032,99,794,0.12468513853904283
2008,12,120032,176,973,0.18088386433710174
2012,12,120032,166,964,0.17219917012448133
2000,12,120033,0,1339,0.0
2004,12,120033,136,1498,0.09078771695594126
2008,12,120033,179,1612,0.11104218362282878
2012,12,120033,405,1591,0.2545568824638592
2000,12,120034,0,886,0.0
2004,12,120034,0,983,0.0
2008,12,120034,0,929,0.0
2012,12,120034,256,845,0.3029585798816568
2000,12,120035,0,1228,0.0
2004,12,120035,0,1241,0.0
2008,12,120035,0,1904,0.0
2012,12,120035,78,1957,0.0398569238630557
2000,12,120038,109,1636,0.06662591687041565
2004,12,120038,0,1757,0.0
2008,12,120038,0,1743,0.0
2012,12,120038,0,1456,0.0
2000,12,120039,0,829,0.0
2004,12,120039,0,769,0.0
2008,12,120039,0,1184,0.0
2012,12,120039,83,1288,0.06444099378881987
2000,12,120040,30,25087,0.0011958384820823535
2004,12,120040,621,27891,0.022265246853823813
2008,12,120040,766,25260,0.03032462391132225
2012,12,120040,1981,25264,0.07841196960101329
2000,12,120042,0,1163,0.0
2004,12,120042,184,1248,0.14743589743589744
2008,12,120042,225,1664,0.13521634615384615
2012,12,120042,244,1598,0.15269086357947434
2000,12,120043,0,361,0.0
2004,12,120043,0,463,0.0
2008,12,120043,0,579,0.0
2012,12,120043,69,687,0.10043668122270742
2000,12,120045,65,2117,0.030703826169107228
2004,12,120045,92,2316,0.039723661485319514
2008,12,120045,0,1860,0.0
2012,12,120045,0,1609,0.0
2000,12,120050,0,3607,0.0
2004,12,120050,0,3866,0.0
2008,12,120050,0,3864,0.0
2012,12,120050,0,3363,0.0
2000,12,120060,0,3530,0.0
2004,12,120060,51,3672,0.013888888888888888
2008,12,120060,191,3954,0.048305513404147696
2012,12,120060,200,4187,0.04776689754000478
